question,tag,answer
আমি হচ্ছে নামজারি করতে চাচ্ছিলাম এখন কারো সাহায্য নিতে হবে নাকি নিজেই করতে পারবো?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
অন্যের সাহায্যে নামজারি করা যায় কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি করতে অন্যের সাহায্য নেওয়া যাবে কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি করার জন্য কারো সহায়তা প্রয়োজন কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি করতে কারো সাহায্য লাগবে কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি করার জন্য কি অন্যের সহায়তা নিতে হবে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
"আমি কি অনলাইনে করবো, না কি কাউকে দিয়ে করাবো?",namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নিজের আবেদন ভালো হবে না কি পেশাদার সাহায্যে করবো?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি করার জন্য কোথায় যেতে হবে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি পেতে হলে কিভাবে আবেদন করবো?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারির জন্য অনলাইন থেকে কি আবেদন করা যায়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারির আবেদন কোথায় করতে হয়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
অনলাইনে নামজারির জন্য কোথায় আবেদন করতে হবে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি কি অনলাইনে করা যায়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
কোন ওয়েবসাইটে নামজারির আবেদন করা যায়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি করতে কোন অনলাইন পোর্টাল ব্যবহার করতে হয়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি আবেদন জমা দিতে কি সেবাপোর্টালে যেতে হয়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
খারিজের আবেদন কিভাবে করবো?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
খারিজ আবেদন কোথায় করতে হবে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
খারিজের জন্য আবেদন করার প্রক্রিয়া কী?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
খারিজের আবেদন কিভাবে সাবমিট করবো?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
খারিজ করার নিয়ম কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
"নামজারি, খারিজ, মিউটেশন জন্য নিবন্ধন করতে কি লাগে?",namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির জন্য রেজিস্ট্রেশন করতে চাচ্ছিলাম তো এখন কি কি কাগজপত্র লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির জন্য রেজিস্ট্রেশন করতে চাচ্ছিলাম তো এখন কি কি ডকুমেন্টস লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
"নামজারি, খারিজ, মিউটেশন নিবন্ধন করতে কি কি দরকার?",namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনের জন্য কি কি কাগজপত্র লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধন করতে কি দলিল লাগে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
"নামজারি, খারিজ, মিউটেশন নিবন্ধন করতে নিজের মোবাইল থাকতে হবে?",namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধন করতে মোবাইল নম্বর ছাড়া আর কি লাগে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
"নামজারি, খারিজ, মিউটেশন নিবন্ধন করতে এনআইডি বা জন্মনিবন্ধন লাগে কি?",namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির জন্য নিবন্ধনের সময় কি কি লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনের জন্য কাগজপত্র কি লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারি নিবন্ধনের জন্য কি কি ডকুমেন্ট জমা দিতে হয়?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির নিবন্ধন করতে হলে কি দলিল দরকার হয়?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনের জন্য কি এনআইডি বাধ্যতামূলক?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির আবেদন করতে কি কি তথ্য লাগে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির সময় নিবন্ধনে কোন কোন কাগজ লাগে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির নিবন্ধনের জন্য কি জন্মনিবন্ধন লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধন করতে কোন ফরম পূরণ করতে হয়?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
"নামজারির জন্য অনলাইন নিবন্ধনে কি নথি জমা দিতে হয়?",namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধন করতে কি নিজের মোবাইল নম্বর লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনের সময় মোবাইল নম্বর থাকতেই হবে কি?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধন করতে কি অবশ্যই নিজের ফোন নম্বর লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির সময় মোবাইল নম্বর ছাড়া নিবন্ধন সম্ভব?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
মোবাইল ছাড়াও কি নিবন্ধন করা যায়?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনে কি ওটিপি আসবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনের জন্য মোবাইল কি বাধ্যতামূলক?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারির নিবন্ধনে কি ফোন নম্বর দিতে হয়?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
এনআইডি ছাড়া কি মোবাইল দিয়ে নিবন্ধন সম্ভব?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনের সময় ফোন নম্বর ও আইডি দিতে হয় কি?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নামজারি আবেদন নিজে না করলে প্রতিনিধি দিয়ে করা যায় কিনা?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
"নামজারি, খারিজ, মিউটেশন আবেদন নিজে না করলে প্রতিনিধি দিয়ে করা যায় কিনা?",namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
নিজে না করে নামজারির আবেদন প্রতিনিধি দিয়ে করা যাবে কি?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
নামজারির আবেদন কি অন্য কাউকে দিয়ে করা যাবে?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
আমি না থাকলে প্রতিনিধি দিয়ে কি আবেদন করা সম্ভব?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
অন্য কাউকে দিয়ে খারিজ নামজারি করতে হলে কি করতে হবে,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
আমি হচ্ছে দেশে থাকিনা এখন জমি খারিজ করতে হবে অন্য কেউ কি আমার খারিজের আবেদন করতে পারবে?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
আমি নিজে না গিয়ে কি নামজারির আবেদন করাতে পারবো?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
নামজারির জন্য কি কাউকে দায়িত্ব দেওয়া যায়?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
"অন্য কেউ কি আমার হয়ে নামজারি, খারিজ, মিউটেশন আবেদন করতে পারবে?",namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
নামজারি করাতে কি কাউকে প্রতিনিধি বানানো যায়?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
নামজারির আবেদন কি পরিবারের কেউ করতে পারবে?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
অন্য কেউ অনলাইনে আমার হয়ে নামজারি করতে পারবে কি?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
আমি নিজে করবো নাকি অন্য কাউকে দিয়ে নামজারি করবো?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
"আমি নিজে করবো নাকি অন্য কাউকে দিয়ে নামজারি, খারিজ, মিউটেশন করবো?",namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম। "
